bank_ref,voucher_no,match_type
BR001728,JV005374,one_to_one
BR001729,JV005367,one_to_one
BR001730,JV005378,one_to_one
BR001731,JV005349,one_to_one
BR001732,JV005360,one_to_one
BR001733,JV005381,one_to_one
BR001734,JV005370,one_to_one
BR001735,JV005380,one_to_one
BR001736,JV005376,one_to_one
BR001737,JV005417,one_to_one
BR001738,JV005391,one_to_one
BR001739,JV005401,one_to_one
BR001740,JV005396,one_to_one
BR001741,JV005407,one_to_one
BR001742,JV005410,one_to_one
BR001743,JV005406,one_to_one
BR001744,JV005405,one_to_one
BR001745,JV005415,one_to_one
BR001746,JV005412,one_to_one
BR001747,JV005390,one_to_one
BR001748,,direct_debit
BR001749,JV005428,one_to_one
BR001750,JV005440,one_to_one
BR001751,JV005435,one_to_one
BR001752,JV005467,one_to_one
BR001753,JV005452,one_to_one
BR001754,JV005455,one_to_one
BR001755,JV005465,one_to_one
BR001756,JV005456,one_to_one
BR001757,JV005458,one_to_one
BR001758,JV005426,one_to_one
BR001759,JV005447,one_to_one
BR001760,JV005491,one_to_one
BR001761,JV005485,one_to_one
BR001762,JV005504,one_to_one
BR001763,JV005501,one_to_one
BR001764,JV005481,one_to_one
BR001765,JV005449,one_to_one
BR001766,JV005477,one_to_one
BR001767,JV005497,one_to_one
BR001768,JV005513,one_to_one
BR001769,JV005523,one_to_one
BR001770,JV005517,one_to_one
BR001771,JV005507,one_to_one
BR001772,JV005522,one_to_one
BR001773,JV005508,one_to_one
BR001774,JV005511,one_to_one
BR001775,JV005515,one_to_one
BR001776,JV005535,one_to_one
BR001777,JV005506,one_to_one
BR001778,JV005509,one_to_one
BR001779,JV005550,one_to_one
BR001780,JV005510,one_to_one
BR001781,JV005534,one_to_one
BR001782,JV005542,one_to_one
BR001783,,direct_debit
BR001784,JV005533,one_to_one
BR001785,JV005536,one_to_one
BR001786,JV005560,one_to_one
BR001787,JV005546,one_to_one
BR001788,JV005528,one_to_one
BR001789,JV005612,one_to_one
BR001790,JV005562,one_to_one
BR001791,JV005564,one_to_one
BR001792,JV005568,one_to_one
BR001793,JV005601,one_to_one
BR001794,JV005583,one_to_one
BR001795,JV005608,one_to_one
BR001796,JV005576,one_to_one
BR001797,JV005586,one_to_one
BR001798,JV005537,one_to_one
BR001799,JV005607,one_to_one
BR001800,JV005592,one_to_one
BR001801,JV005625,one_to_one
BR001802,JV005580,one_to_one
BR001803,JV005615,one_to_one
BR001804,JV005599,one_to_one
BR001805,JV005598,one_to_one
BR001806,JV005589,one_to_one
BR001807,JV005588,one_to_one
BR001808,JV005613,one_to_one
BR001809,JV005595,one_to_one
BR001810,JV005593,one_to_one
BR001811,JV005603,one_to_one
BR001812,JV005543,one_to_one
BR001813,JV005591,one_to_one
BR001814,JV005578,one_to_one
BR001815,JV005584,one_to_one
BR001816,JV005582,one_to_one
BR001817,JV005574,one_to_one
BR001818,JV005634,one_to_one
BR001819,JV005654,one_to_one
BR001820,JV005642,one_to_one
BR001821,JV005646,one_to_one
BR001822,JV005636,one_to_one
BR001823,JV005637,one_to_one
BR001824,JV005650,one_to_one
BR001825,JV005645,one_to_one
BR001826,JV005640,one_to_one
BR001827,JV005662,one_to_one
BR001828,JV005632,one_to_one
BR001829,JV005655,one_to_one
BR001830,JV005653,one_to_one
BR001831,JV005680,one_to_one
BR001832,JV005635,one_to_one
BR001833,JV005656,one_to_one
BR001834,JV005657,one_to_one
BR001835,JV005652,one_to_one
BR001836,JV005706,one_to_one
BR001837,JV005682,one_to_one
BR001838,JV005674,one_to_one
BR001839,JV005684,one_to_one
BR001840,JV005699,one_to_one
BR001841,JV005683,one_to_one
BR001842,JV005695,one_to_one
BR001843,JV005649,one_to_one
BR001844,,bank_fee
BR001845,JV005685,one_to_one
BR001846,JV005686,one_to_one
